Day,Month,Year,CavFunding,DonationLevel,CAVCON,Reserve,Population,Unique visits,Total visits,Average visits,Extra Expenses,Sources
30,6,2019,0.42,,,,30438,,,,,https://discord.com/channels/341414079673401346/354051647133057024/676543620534370305
31,7,2019,0.27,,,,30717,,,,,https://discord.com/channels/341414079673401346/354051647133057024/676543620534370305
31,8,2019,0.35,,,,30932,,,,,https://discord.com/channels/341414079673401346/354051647133057024/676543620534370305
30,9,2019,0.31,,,,31157,990,,,,https://discord.com/channels/341414079673401346/354051647133057024/676543620534370305
31,10,2019,0.44,,,,31446,1016,,,,https://discord.com/channels/341414079673401346/354051647133057024/676543620534370305
30,11,2019,0.52,,,,31682,1114,,,,https://discord.com/channels/341414079673401346/354051647133057024/676543620534370305
31,12,2019,0.73,,,,31897,1020,,,,https://discord.com/channels/341414079673401346/354051647133057024/676543620534370305
31,1,2020,0.41,,,,32253,1084,,,,https://discord.com/channels/341414079673401346/354051647133057024/676543620534370305
29,2,2020,1.20,,,,32754,1343,,,,https://discord.com/channels/341414079673401346/354051647133057024/684471879482081350
31,3,2020,1.75,,,,33640,1754,,,,https://discord.com/channels/341414079673401346/354051647133057024/695347191484514305
30,4,2020,1.25,,,,34487,1840,,,,https://discord.com/channels/341414079673401346/354051647133057024/707297509877481682
31,5,2020,0.90,,,,35052,1441,,,,https://discord.com/channels/341414079673401346/354051647133057024/718200836731437107
30,6,2020,0.54,,,,35478,1210,,,,https://discord.com/channels/341414079673401346/354051647133057024/729747300267720846
31,7,2020,3.32,,4.23,1.70,35823,1170,,,0.62,https://discord.com/channels/341414079673401346/354051647133057024/740286478520811693;https://discord.com/channels/341414079673401346/354051647133057024/740320805820432565
31,8,2020,1.03,,4.03,1.70,36511,1997,,,0.40,https://discord.com/channels/341414079673401346/354051647133057024/753699219294126281
30,9,2020,0.55,,2.5,1.23,36887,1527,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/763472653126074388
31,10,2020,1.09,,4.1,1.30,37756,1980,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/772889215998099467
30,11,2020,0.87,,2.9,1.19,38274,1627,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/786314847578882098
31,12,2020,1.10,,4.1,1.28,38801,1543,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/796455893184413707
31,1,2021,0.91,,2.9,1.22,39294,1489,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/807043161922207774
28,2,2021,0.94,,2.9,1.17,39679,1375,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/817481906920620052
31,3,2021,2.65,,4.17,2.52,40016,1241,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/829096299663065119
30,4,2021,1.06,,4.1,2.58,40360,1260,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/838889846671278092
31,5,2021,0.94,,2.9,2.53,40665,1303,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/850132540584099899
30,6,2021,1.35,,4.4,2.98,40902,1252,,,0.30,https://discord.com/channels/341414079673401346/354051647133057024/864571100163080242
31,7,2021,1.97,,4.1,3.77,41162,1334,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/874804647938908190
31,8,2021,1.02,,4,3.77,41649,1382,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/885270759939903538
30,9,2021,0.58,,2.6,3.30,41989,1284,,,0.24,https://discord.com/channels/341414079673401346/354051647133057024/894999468175421481
31,10,2021,1.07,,4.1,3.46,42273,1142,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/909945505965039657
30,11,2021,1.63,,4.6,3.95,42550,1185,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/917935722839830538
31,12,2021,2.05,,4.1,5.46,42976,1588,,,0.25,https://discord.com/channels/341414079673401346/354051647133057024/930988973554274314
31,1,2022,0.94,,2.9,5.34,43641,1582,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/940741861352546314
28,2,2022,1.33,,4.3,5.55,43973,1393,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/950808460231065600
31,3,2022,0.75,,2.8,5.30,44202,1177,,,0.20,https://discord.com/channels/341414079673401346/354051647133057024/966449460991377419
30,4,2022,0.78,,2.8,5.07,44497,1340,,,0.04,https://discord.com/channels/341414079673401346/354051647133057024/971811728784490546
31,5,2022,1.48,,4.5,5.41,44747,1228,,,0.04,https://discord.com/channels/341414079673401346/354051647133057024/984946125750554634
30,6,2022,1.14,,4.1,5.44,44967,1090,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/994354956620542083
31,7,2022,0.80,,2.9,5.27,45197,1069,,,0.20,https://discord.com/channels/341414079673401346/354051647133057024/1006285170325856256
31,8,2022,0.96,,3,5.23,45494,1348,,,0.15,https://discord.com/channels/341414079673401346/354051647133057024/1017548707702505472
30,9,2022,0.96,,3,5.18,45756,1274,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/1027345973317476462
31,10,2022,0.99,,3,5.19,46130,1344,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/1038224451004813363
30,11,2022,1.28,,4.3,5.43,46413,1204,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/1050090296156893215
31,12,2022,1.43,,4.4,5.79,46703,1250,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/1060695544462332045
31,1,2023,2.40,,4.14,7.15,47027,1220,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/1073020451770601522
28,2,2023,0.98,,3,7.14,47329,1242,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/1083818287604969552
31,3,2023,0.85,,2.9,6.91,47581,1174,,,0.20,https://discord.com/channels/341414079673401346/354051647133057024/1095775058502365214
30,4,2023,0.83,,2.8,6.67,47907,1450,,,0.25,https://discord.com/channels/341414079673401346/354051647133057024/1103455267879911515
31,5,2023,0.55,,2.5,5.92,48172,1324,,,0.45,https://discord.com/channels/341414079673401346/354051647133057024/1118251073321308231
30,6,2023,0.97,,3,5.92,48397,1060,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/1128747383321276437
31,7,2023,1.11,,4.1,6.04,48699,1178,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/1138895152950300673
31,8,2023,0.83,,2.8,5.87,48977,1156,,,0.15,https://discord.com/channels/341414079673401346/354051647133057024/1149036195301564437
30,9,2023,0.80,,2.8,5.67,49230,1078,,,0.00,https://discord.com/channels/341414079673401346/354051647133057024/1161336654393511936
31,10,2023,1.77,,4.8,6.52,49489,1047,,,0.05,https://discord.com/channels/341414079673401346/354051647133057024/1171594594580963359
30,11,2023,0.96,,3,6.40,49797,1467,,,0.33,https://discord.com/channels/341414079673401346/354051647133057024/1182813874320310304
31,12,2023,0.72,,2.7,6.20,50092,1219,,,,https://discord.com/channels/341414079673401346/354051647133057024/1192952471698559116
31,1,2024,0.76,,2.7,6.00,50297,1080,,,,https://discord.com/channels/341414079673401346/354051647133057024/1207426145067208714
29,2,2024,0.75,,2.7,5.90,50544,1161,,,,https://discord.com/channels/341414079673401346/354051647133057024/1215108286681059408
31,3,2024,1.14,,4.1,5.93,50807,1167,,,,https://discord.com/channels/341414079673401346/354051647133057024/1228076957888151592
30,4,2024,1.02,,3,6.07,51016,1064,12130,,,https://discord.com/channels/341414079673401346/354051647133057024/1239646925062537308
31,5,2024,0.70,,2.7,5.93,51209,999,10457,,,https://discord.com/channels/341414079673401346/354051647133057024/1251229752036163685
30,6,2024,1.15,,4.1,6.07,51485,1119,10512,,,https://discord.com/channels/341414079673401346/354051647133057024/1260641821671952467
31,7,2024,1.13,,4.1,6.20,51800,1228,11177,,,https://discord.com/channels/341414079673401346/354051647133057024/1270155757316346036
31,8,2024,0.81,,2.8,6.11,52038,1085,10945,,,https://discord.com/channels/341414079673401346/354051647133057024/1281325381516791828
30,9,2024,1.07,,4.1,6.19,52237,992,8798,,,https://discord.com/channels/341414079673401346/354051647133057024/1292930904985178124
31,10,2024,2.85,,4.18,7.56,52412,929,9067,,,https://discord.com/channels/341414079673401346/354051647133057024/1305956707444330497
30,11,2024,0.58,,2.6,7.16,52631,1093,10293,,,https://discord.com/channels/341414079673401346/354051647133057024/1315767316176441475
31,12,2024,1.10,,4.1,7.19,52871,1176,11347,,,https://discord.com/channels/341414079673401346/354051647133057024/1328821440681869332
31,1,2025,0.83,,2.8,7.14,53118,1086,9748,,,https://discord.com/channels/341414079673401346/354051647133057024/1347338578606424224
28,2,2025,0.99,,3,7.14,53314,1055,8808,,,https://discord.com/channels/341414079673401346/354051647133057024/1347338578606424224
31,3,2025,0.69,,2.7,6.82,53517,1006,10510,,,https://discord.com/channels/341414079673401346/354051647133057024/1361836878864842983
30,4,2025,0.55,-0.41,2.6,6.43,53689,955,9100,,,https://discord.com/channels/341414079673401346/354051647133057024/1370446574345261168
31,5,2025,1.50,0.25,4.5,6.82,53871,1055,10531,,,https://discord.com/channels/341414079673401346/354051647133057024/1381729614988050442
30,6,2025,0.40,-0.50,2.4,6.18,54035,879,8501,,,https://discord.com/channels/341414079673401346/354051647133057024/1393006172747075695
31,7,2025,1.10,-0.06,4.1,6.29,54219,928,8280,8.92,,https://discord.com/channels/341414079673401346/354051647133057024/1408159149946306642
31,8,2025,1.00,-0.22,3,6.33,54416,942,9125,9.69,,https://discord.com/channels/341414079673401346/354051647133057024/1417289113018830928
30,9,2025,0.97,-0.30,3,6.36,54533,843,8344,9.9,,https://discord.com/channels/341414079673401346/354051647133057024/1424876331065151529
31,10,2025,3.49,-0.24,4.25,7.95,54699,830,8208,9.89,,https://discord.com/channels/341414079673401346/354051647133057024/1436160488609284288
30,11,2025,0.89,-0.30,2.9,7.93,54868,875,7959,9.1,,https://discord.com/channels/341414079673401346/354051647133057024/1448463903808946227
31,12,2025,0.82,-0.13,2.8,7.82,55038,934,8305,8.89,,https://discord.com/channels/341414079673401346/354051647133057024/1461467980784336906
31,1,2026,0.67,-0.30,2.7,7.59,55206,922,9242,10.02,,https://discord.com/channels/341414079673401346/354051647133057024/1470519811531604019
28,2,2026,0.59,-0.51,2.6,7.36,55366,923,7984,8.65,,https://discord.com/channels/341414079673401346/354051647133057024/1479214747995082855
31,3,2026,1.03,0.13,3,7.40,55462,796,8813,11.07,,https://discord.com/channels/341414079673401346/354051647133057024/1491899025677619429
30,4,2026,0.62,-0.30,2.6,7.10,55500,710,6460,9.1,,https://discord.com/channels/341414079673401346/354051647133057024/1503838107479310416
31,5,2026,0.45,-0.31,2.5,6.44,55546,661,7559,11.44,,https://discord.com/channels/341414079673401346/354051647133057024/1513610029851348992
30,6,2026,0.45,-0.32,2.5,5.91,55705,808,8286,10.25,,https://discord.com/channels/341414079673401346/354051647133057024/1526385233912397985
31,7,2026,0.60,-0.14,2.6,5.48,55863,897,9680,10.79,,https://discord.com/channels/341414079673401346/354051647133057024/1535406848767827968
31,8,2026,1.23,0.55,4.2,5.70,56027,911,9601,10.54,,https://discord.com/channels/341414079673401346/354051647133057024/1545154489130946581
